450905-7,0B943B-14,7085CA-14,2AD75E-14,1A9B20-7,BAAF62-7,75A2B6-7,DF309F-7,0BF51C-7,B85D75-7,180E1A-7,82CCF5-7,3F05F3-7,40067F-21,0E1F8E-14,E9CFE0,F8FF1A,56E219,77DA77,22CBD6,4F2EAD,062CD8
chr1:17222751-17222760,67,48,78,23,58,72,126,80,29,113,136,94,62,76,130,134,57,82,57,56,87,32
chr1:17222801-17222810,55,35,63,19,55,60,111,74,26,96,94,70,60,66,119,124,53,75,54,62,89,27
chr1:17231401-17231410,45,50,80,11,54,65,120,79,22,73,155,86,50,50,70,95,36,67,55,41,82,39
chr1:17231451-17231460,44,58,80,12,52,62,122,72,22,87,144,71,50,47,79,91,46,76,58,49,80,37
chr1:17231601-17231610,38,41,68,18,45,61,123,70,16,97,143,74,46,48,103,107,49,66,44,42,59,37
chr1:17231651-17231660,40,47,72,19,48,59,132,68,15,94,154,73,43,49,104,100,46,66,44,52,66,40
chr1:17380601-17380610,31,44,88,20,24,30,69,24,14,53,97,60,28,29,52,56,21,33,54,50,81,30
chr1:17380651-17380660,28,30,88,17,28,24,58,23,12,58,78,56,36,23,51,47,19,31,46,49,77,22
chr1:19578101-19578110,29,24,41,7,23,21,34,23,13,34,52,27,23,31,33,33,9,28,16,18,30,16
chr1:19578151-19578160,31,23,39,7,22,25,35,22,13,33,50,25,22,31,32,32,8,27,14,19,27,16
chr1:19578201-19578210,30,24,41,6,22,22,35,23,13,32,51,31,25,31,35,27,8,25,15,20,26,19
chr1:19578251-19578260,31,24,62,6,23,17,38,28,16,31,51,37,28,32,39,36,10,26,16,21,32,18
chr1:20208801-20208810,20,27,79,13,23,25,52,33,15,21,61,32,34,34,55,39,13,31,27,25,46,20
chr1:20988051-20988060,28,30,81,12,26,35,49,35,17,57,75,61,42,30,50,58,22,21,27,43,63,19
chr1:20988101-20988110,35,34,77,12,24,42,50,39,18,51,76,53,45,28,49,49,17,25,38,33,58,22
chr1:22366401-22366410,26,31,72,20,30,19,58,29,14,33,63,58,27,36,48,47,11,21,30,30,46,21
chr1:22366451-22366460,24,31,65,19,37,15,46,30,13,35,68,48,24,29,51,48,8,24,27,22,40,17
chr1:22366501-22366510,24,28,81,19,30,23,57,36,21,44,82,58,30,28,56,51,7,25,29,26,35,13
chr1:24018251-24018260,15,17,54,7,17,21,36,15,8,21,47,40,22,11,42,36,9,14,28,17,33,17
chr1:24165151-24165160,10,22,31,8,9,11,17,13,11,14,33,31,11,7,14,11,2,16,19,19,28,10
chr1:24306901-24306910,32,29,85,15,21,34,62,33,21,30,85,60,32,34,43,43,17,25,40,41,62,23
chr1:24742151-24742160,18,36,64,11,22,35,67,23,16,35,79,43,24,15,39,33,16,25,34,31,41,16
chr1:26222051-26222060,14,21,42,5,23,14,28,18,10,16,38,27,18,15,25,22,8,12,22,17,32,12
chr1:26453101-26453110,7,14,26,3,12,14,39,23,3,17,50,18,19,9,24,28,6,9,21,16,30,12
chr1:26633201-26633210,15,24,80,9,18,29,54,26,9,35,74,42,23,25,46,42,16,20,29,32,45,33
chr1:26758751-26758760,17,25,62,13,25,20,44,21,9,25,51,37,28,30,31,36,10,21,33,39,47,20
chr1:27160201-27160210,11,23,39,6,12,23,40,22,12,26,76,42,33,15,22,39,7,14,29,24,30,9
chr1:27248151-27248160,23,33,80,15,31,18,67,32,25,48,86,69,33,21,54,50,14,36,36,29,62,18
chr1:27648651-27648660,23,29,76,19,23,37,81,48,17,39,85,72,48,28,51,56,21,41,41,41,63,18
chr1:27648701-27648710,24,32,78,13,21,35,81,44,22,48,69,67,50,34,50,54,18,41,45,34,64,21
chr1:27816751-27816760,25,43,79,14,41,38,74,30,22,39,65,57,42,33,55,56,25,21,43,42,57,23
chr1:27816801-27816810,24,47,84,12,47,37,75,30,22,42,63,53,40,35,53,58,19,21,44,39,49,19
chr1:27998751-27998760,18,12,40,8,23,18,42,21,8,11,32,20,19,13,27,26,5,12,22,20,25,11
chr1:28415251-28415260,37,38,93,15,28,27,54,36,23,42,67,63,43,22,52,44,17,18,34,37,51,24
chr1:28562551-28562560,17,34,73,7,22,24,52,32,16,29,78,50,26,17,36,37,7,25,23,20,38,18
chr1:28573801-28573810,44,50,115,22,36,50,98,54,21,58,136,81,42,33,75,74,22,36,54,44,88,34
chr1:28573851-28573860,41,53,136,18,41,54,105,53,23,64,129,83,47,42,88,74,28,38,69,57,92,38
chr1:28585901-28585910,32,35,97,15,17,25,54,43,14,48,74,57,24,24,46,34,11,23,38,38,62,22
chr1:28832401-28832410,19,25,82,10,15,23,45,21,15,24,60,47,24,16,47,38,12,17,30,20,43,13
chr1:28832451-28832460,17,27,68,10,18,16,36,19,12,35,69,40,23,15,37,42,10,16,24,22,32,18
chr1:28879451-28879460,21,33,77,13,33,23,62,42,11,51,82,53,38,32,48,48,18,26,35,43,48,25
chr1:28879501-28879510,21,24,84,13,29,26,69,43,17,46,72,53,37,35,40,46,11,25,36,34,50,18
chr1:29508501-29508510,48,36,110,21,21,42,67,24,35,49,89,72,36,34,63,39,24,35,44,49,81,29
chr1:31538601-31538610,20,28,71,12,22,24,57,36,14,39,62,56,35,25,55,53,8,29,35,29,51,21
chr1:32757601-32757610,43,35,103,19,32,37,49,30,13,53,84,67,30,35,58,56,21,32,45,43,71,24
chr1:32860151-32860160,36,38,99,21,25,49,64,40,30,51,108,83,31,35,55,54,21,44,58,43,68,29
chr1:33502551-33502560,32,24,61,10,28,29,53,31,19,33,47,48,19,30,36,50,14,21,31,26,47,17
chr1:33502601-33502610,29,29,57,6,29,29,53,25,19,44,67,48,22,25,48,44,11,34,40,38,42,13
chr1:33593051-33593060,21,37,98,15,36,34,72,41,23,54,99,77,41,36,56,57,18,31,47,40,70,22
chr1:35318451-35318460,11,32,42,10,15,13,37,17,10,22,47,31,11,17,29,33,5,10,16,20,26,10
chr1:36916151-36916160,26,19,32,10,15,22,43,19,19,29,43,38,31,15,37,42,7,13,18,36,28,12
chr1:38061601-38061610,22,29,68,7,23,18,49,24,11,30,56,37,26,20,29,46,8,21,28,27,51,22
chr1:38077351-38077360,50,58,148,22,41,48,61,35,26,71,122,87,58,38,90,61,13,46,85,82,84,71
chr1:38077401-38077410,53,70,172,24,41,48,67,39,20,71,134,103,58,49,87,63,12,42,89,85,89,82
chr1:38156301-38156310,29,35,94,8,27,18,52,23,11,37,57,56,34,19,60,27,6,27,23,29,64,27
chr1:38158051-38158060,30,46,113,19,37,47,81,41,16,56,102,74,48,32,71,66,21,36,49,51,76,33
chr1:38455801-38455810,11,21,52,11,23,24,38,31,5,30,44,33,32,24,37,45,13,16,28,34,34,17
chr1:38478301-38478310,22,27,58,6,23,30,45,29,11,32,45,54,28,18,43,52,11,11,28,24,46,18
chr1:39339101-39339110,20,27,69,7,20,27,56,26,23,32,59,57,35,12,38,54,13,29,28,33,54,35
chr1:39339151-39339160,23,29,71,13,16,25,56,28,20,33,65,49,45,9,30,49,12,28,24,29,46,20
chr1:40349201-40349210,10,9,39,8,9,5,43,15,5,15,36,21,21,13,23,34,7,9,16,13,20,11
chr1:40627001-40627010,27,31,78,8,22,28,50,25,14,35,56,52,34,16,46,51,14,30,33,26,52,16
chr1:40723751-40723760,33,41,92,15,25,42,53,39,15,40,124,83,33,38,52,59,17,38,39,53,52,32
chr1:42928801-42928810,24,24,80,9,16,20,80,30,7,37,90,48,27,19,62,52,6,14,30,26,49,21
chr1:42928851-42928860,22,26,86,9,17,22,72,34,5,43,94,51,35,21,54,65,7,25,38,25,45,27
chr1:42928901-42928910,23,22,73,7,24,21,73,38,6,34,100,49,38,26,60,51,8,24,23,28,39,18
chr1:43124001-43124010,25,24,59,11,23,19,51,32,11,30,65,36,42,11,57,57,14,11,28,28,34,14
chr1:43232801-43232810,51,44,128,22,52,61,101,68,38,65,134,88,65,61,90,90,14,49,48,68,89,37
chr1:43232851-43232860,57,48,116,23,47,65,105,68,39,71,127,98,56,59,86,91,14,48,43,61,90,45
chr1:43824501-43824510,31,32,64,12,28,32,68,34,17,29,58,37,36,18,31,49,20,29,30,26,48,12
chr1:43824551-43824560,31,24,63,11,31,29,70,39,19,33,64,46,34,21,37,61,22,33,30,29,62,16
chr1:44115701-44115710,54,58,129,25,48,85,80,57,46,84,125,73,68,52,97,91,35,58,63,70,105,45
chr1:44173101-44173110,36,32,75,20,31,43,69,46,23,45,67,36,37,32,52,69,19,33,42,34,52,19
chr1:44435551-44435560,20,17,60,9,22,34,47,38,13,31,74,44,23,21,36,46,14,18,32,38,49,16
chr1:44435601-44435610,18,21,63,10,17,24,51,35,12,30,69,51,34,19,37,34,17,17,25,27,33,17
chr1:45205401-45205410,13,25,69,14,24,36,38,23,13,29,68,49,22,21,39,46,12,21,34,36,41,19
chr1:45301701-45301710,8,10,15,3,11,7,17,14,6,8,19,15,19,8,18,14,2,6,10,13,11,3
chr1:45452351-45452360,28,26,54,7,26,19,47,25,18,33,40,35,33,24,48,46,11,18,26,21,48,13
chr1:45965851-45965860,30,28,82,9,29,33,70,34,20,44,93,56,41,31,69,58,13,23,38,49,49,16
chr1:46016501-46016510,16,20,43,7,21,18,53,38,19,19,45,31,29,13,47,47,8,16,23,18,34,19
chr1:46813951-46813960,5,9,14,1,6,7,20,14,2,12,29,12,17,8,13,35,4,9,8,11,22,8
chr1:47069951-47069960,25,26,79,12,24,23,52,31,21,38,75,55,28,21,50,46,4,18,35,37,56,24
chr1:47184901-47184910,24,37,71,11,27,31,89,42,21,40,101,71,45,33,71,68,16,22,41,38,64,17
chr1:47779901-47779910,41,35,76,20,43,46,91,56,20,48,92,66,56,27,76,90,21,35,40,49,68,37
chr1:47779951-47779960,45,39,81,18,37,35,81,56,16,54,88,63,44,27,69,90,22,35,44,43,80,33
chr1:47780001-47780010,46,27,69,20,37,34,83,57,15,50,77,53,52,21,64,95,16,34,36,36,74,29
chr1:51425901-51425910,31,44,95,19,50,30,114,52,33,50,127,66,53,29,76,108,19,40,44,37,70,26
chr1:51425951-51425960,28,33,91,16,43,35,118,58,28,48,116,72,55,27,64,103,19,37,36,38,69,34
chr1:52082751-52082760,20,34,55,13,18,28,36,33,12,37,78,53,22,24,29,37,13,23,20,34,39,13
chr1:52344551-52344560,43,56,101,16,48,60,94,65,23,73,129,78,56,35,101,107,22,26,53,56,82,38
chr1:53662451-53662460,19,24,76,7,20,27,67,29,14,27,59,40,39,25,32,49,19,20,29,30,42,20
chr1:53704251-53704260,21,23,62,12,25,28,42,27,13,39,58,33,38,13,37,47,7,21,21,31,47,15
chr1:54304201-54304210,37,35,60,20,36,33,98,52,11,48,73,57,56,34,75,101,19,37,28,34,48,15
chr1:55181451-55181460,20,21,44,13,36,24,56,29,11,29,50,37,22,28,50,64,9,18,30,26,36,12
chr1:55230301-55230310,65,63,135,29,52,52,91,58,37,68,144,71,54,47,84,114,27,59,41,67,103,43
chr1:55230351-55230360,61,57,134,31,56,55,104,70,35,73,146,76,56,45,88,117,28,59,37,63,96,37
chr1:55230401-55230410,53,52,118,24,51,49,104,53,30,74,142,76,41,46,80,110,24,47,39,54,76,41
chr1:59012401-59012410,73,57,115,29,72,80,146,102,39,84,188,88,91,51,156,219,26,56,60,69,91,30
chr1:59012451-59012460,72,66,153,23,83,85,162,108,44,85,211,96,85,59,163,232,29,59,71,79,104,47
chr1:59012501-59012510,57,71,137,21,77,78,147,97,42,91,201,91,89,57,133,208,28,49,58,73,111,49
chr1:59165751-59165760,23,31,74,12,43,38,81,46,21,40,116,51,46,20,84,86,13,29,40,32,62,24
chr1:59165801-59165810,25,37,61,10,41,28,71,47,18,36,113,42,49,22,76,88,15,25,39,34,65,23
chr1:59762501-59762510,67,60,103,36,59,89,138,99,41,86,129,73,91,39,137,186,42,60,56,63,64,27
chr1:62190801-62190810,17,32,47,15,30,17,76,31,3,45,80,32,46,21,54,88,14,18,20,18,40,14
chr1:62190851-62190860,17,36,34,14,32,30,69,36,3,45,89,37,49,22,65,84,16,20,21,24,38,10
chr1:62248551-62248560,9,13,17,13,24,26,56,31,6,20,49,21,28,7,43,56,9,5,7,9,22,14
chr1:63249501-63249510,38,49,74,19,59,46,154,93,33,82,155,65,73,60,124,188,32,36,46,36,47,21
chr1:63249551-63249560,42,42,72,18,58,43,153,83,29,83,137,55,88,64,132,184,34,40,50,36,44,16
chr1:63249601-63249610,41,41,70,19,61,38,150,78,28,80,124,49,86,57,122,176,30,39,48,38,40,15
chr1:63249651-63249660,41,41,73,19,60,37,149,78,28,77,127,48,83,57,123,175,30,39,48,34,39,14
chr1:63249701-63249710,42,56,78,20,58,42,158,89,29,77,143,52,99,60,127,186,31,46,49,38,46,20
chr1:63249751-63249760,46,52,80,21,58,47,138,90,23,71,131,52,96,62,119,177,30,43,41,41,45,27
chr1:65330001-65330010,26,15,24,5,14,11,47,22,9,30,36,29,25,22,38,36,9,19,16,12,23,20
chr1:65343001-65343010,3,14,14,6,15,11,53,32,0,11,48,15,26,3,30,52,4,3,12,11,22,8
chr1:65343051-65343060,3,17,13,7,13,11,60,26,0,7,44,14,27,3,36,47,4,3,9,11,22,11
chr1:65886101-65886110,138,143,225,48,120,177,238,138,70,201,395,154,159,101,186,295,49,103,123,124,175,99
chr1:66748201-66748210,13,22,19,6,21,9,47,32,9,21,61,29,32,11,34,30,1,10,11,14,19,8
chr1:66816001-66816010,3,15,14,2,17,18,43,29,5,14,36,17,27,11,35,59,3,10,18,14,19,7
chr1:67390651-67390660,85,80,120,41,85,78,266,142,50,132,252,113,146,63,198,318,32,62,73,81,111,42
chr1:67395901-67395910,66,49,107,20,59,63,150,97,36,102,185,104,80,42,125,167,29,49,49,52,87,27
chr1:67896151-67896160,47,101,170,43,107,105,286,162,43,110,271,134,140,65,222,342,42,66,82,75,152,48
chr1:67966301-67966310,12,15,29,10,18,21,42,21,11,18,44,23,40,10,29,36,7,9,8,12,26,16
chr1:68962801-68962810,35,37,64,17,34,37,51,35,18,59,89,32,71,20,58,99,12,23,19,28,39,26
chr1:70671251-70671260,34,44,71,14,60,34,123,75,20,49,114,73,73,27,107,153,21,50,31,27,52,19
chr1:70671301-70671310,46,48,104,18,57,43,125,86,25,63,160,81,85,35,115,174,23,49,40,40,64,25
chr1:70671351-70671360,47,44,108,17,62,53,123,83,20,53,167,79,86,33,105,168,24,45,36,35,73,27
chr1:70671401-70671410,41,37,78,10,59,38,126,78,24,48,155,58,87,26,109,160,22,32,31,33,53,31
chr1:70687001-70687010,42,64,85,16,70,57,163,95,32,72,174,83,90,43,114,191,22,27,46,38,72,34
chr1:70687051-70687060,49,75,116,22,95,71,191,121,34,89,235,103,98,48,149,236,34,35,66,56,85,41
chr1:70687101-70687110,55,59,94,15,86,76,208,135,35,73,219,91,100,51,145,250,38,35,62,49,74,29
chr1:70687151-70687160,45,48,70,14,79,73,196,122,36,91,176,71,96,42,143,254,29,32,41,30,62,26
chr1:70687201-70687210,44,46,64,18,80,71,192,116,33,87,162,63,98,47,146,251,30,30,43,27,51,27
chr1:70876751-70876760,68,62,108,37,105,112,285,144,31,127,232,104,130,62,170,305,37,67,60,57,87,30
chr1:70876801-70876810,58,69,115,38,100,102,286,144,31,118,239,86,157,62,156,289,37,59,61,68,89,32
chr1:70876851-70876860,49,74,114,39,91,94,275,120,28,118,244,92,153,57,163,295,36,67,57,75,102,48
chr1:71546801-71546810,48,46,74,21,53,46,154,100,24,76,169,55,85,50,135,174,20,57,42,43,74,26
chr1:71546851-71546860,48,47,71,22,53,45,149,98,23,77,167,53,86,48,130,170,19,55,41,43,69,26
chr1:71546901-71546910,46,49,68,20,53,45,149,100,23,78,171,53,86,47,130,171,19,54,38,40,68,26
chr1:71546951-71546960,50,66,93,29,66,60,193,103,24,90,218,65,104,49,155,205,19,56,58,54,80,33
chr1:71547001-71547010,45,54,76,20,64,45,171,90,27,66,203,65,102,40,126,163,13,45,52,54,72,34
chr1:74663851-74663860,65,84,101,38,114,85,250,126,47,92,307,78,140,35,181,271,24,63,60,65,97,33
chr1:74663901-74663910,77,112,112,36,120,85,248,131,52,87,348,98,151,47,183,315,26,84,75,75,116,36
chr1:74663951-74663960,78,128,140,42,131,96,281,150,53,96,389,120,158,60,194,344,36,90,93,97,131,54
chr1:76190301-76190310,56,52,57,22,50,67,150,86,25,87,162,71,75,38,118,188,22,44,44,39,72,31
chr1:76190351-76190360,49,50,60,19,53,52,124,79,24,77,132,70,67,32,106,172,23,45,38,43,73,29
chr1:76251851-76251860,50,63,110,28,57,59,129,71,28,75,193,75,87,43,105,180,31,42,60,66,88,38
chr1:76251901-76251910,44,45,86,18,62,46,129,69,30,67,167,65,90,35,88,174,24,37,46,52,69,35
chr1:76540301-76540310,33,33,57,21,62,28,144,78,12,54,151,41,59,27,88,149,21,17,35,39,55,28
chr1:76540351-76540360,33,39,61,22,65,31,158,83,18,53,148,47,62,23,98,152,21,22,37,47,66,29
chr1:76733551-76733560,11,12,21,10,19,12,72,34,6,16,58,16,29,12,41,41,7,5,9,10,17,7
chr1:77436951-77436960,8,20,55,2,4,7,8,8,2,4,31,37,6,1,9,10,1,3,21,33,31,34
chr1:77437001-77437010,7,20,58,2,4,6,8,7,4,1,31,38,8,2,7,9,1,2,20,33,34,33
chr1:77437051-77437060,6,16,41,2,4,5,9,8,4,1,22,29,9,2,11,12,0,2,16,28,25,25
chr1:77685051-77685060,36,25,47,16,42,25,115,51,6,38,93,46,55,18,55,116,9,19,20,21,52,20
chr1:77685101-77685110,32,23,56,15,34,28,104,44,8,44,111,55,48,17,49,94,8,24,27,26,49,23
chr1:78225501-78225510,29,43,55,27,60,52,190,108,28,54,187,53,72,29,148,183,17,30,44,41,58,22
chr1:78225551-78225560,24,39,60,26,56,57,184,116,34,48,184,66,73,29,155,190,18,32,36,44,55,27
chr1:78245301-78245310,21,30,41,10,26,29,91,68,15,43,83,44,39,17,59,90,10,10,34,27,36,14
chr1:78470501-78470510,29,42,56,23,62,38,171,110,17,59,174,66,76,21,125,197,10,19,39,31,58,32
chr1:78470551-78470560,26,34,41,19,62,28,144,90,14,55,144,58,78,21,115,159,9,21,34,28,58,25
chr1:79083451-79083460,22,20,16,9,17,16,71,26,10,19,53,16,28,11,46,51,4,7,13,11,24,8
chr1:79115451-79115460,11,18,25,8,22,16,88,44,10,26,97,23,44,9,62,81,8,10,16,17,23,13
chr1:79115501-79115510,15,25,23,5,27,17,88,39,11,27,91,14,44,10,59,84,8,7,12,10,15,6
chr1:83974301-83974310,8,16,7,4,23,12,94,37,13,30,78,12,34,8,23,83,5,10,13,9,19,14
chr1:84326701-84326710,28,25,24,11,51,30,147,64,19,45,98,39,68,21,80,130,7,18,22,16,41,16
chr1:84609951-84609960,21,16,29,8,39,17,107,53,7,30,92,23,46,14,57,101,12,13,19,6,28,8
chr1:84908101-84908110,15,27,28,8,25,14,65,42,10,15,52,36,34,14,47,73,11,9,17,19,22,11
chr1:84944951-84944960,9,28,36,12,33,15,100,55,7,40,93,35,48,19,59,122,7,20,18,15,22,16
chr1:84945151-84945160,11,31,33,10,34,19,128,67,9,47,85,27,38,18,61,127,8,21,14,20,28,14
chr1:84945201-84945210,18,30,32,12,41,26,140,61,10,41,95,37,40,14,78,140,13,31,18,15,24,11
chr1:84971901-84971910,56,81,122,22,95,80,248,108,31,110,241,89,121,54,151,266,30,61,61,60,110,48
chr1:84971951-84971960,60,91,125,25,102,97,281,134,42,122,284,109,146,59,177,295,33,70,71,69,120,54
chr1:85040101-85040110,57,57,86,19,65,83,175,92,39,94,205,105,69,45,123,186,27,43,77,57,84,32
chr1:85086551-85086560,34,39,50,17,53,40,138,78,19,51,120,45,62,24,89,133,7,14,26,32,56,16
chr1:85086601-85086610,30,40,47,18,51,40,137,71,20,48,112,45,53,22,81,131,9,14,26,34,48,16
chr1:85086651-85086660,31,42,46,18,53,37,132,64,20,46,106,44,51,21,78,128,7,11,21,29,48,16
chr1:85086701-85086710,28,44,48,16,55,40,137,68,20,49,114,45,67,20,84,135,7,13,29,30,50,14
chr1:85086751-85086760,30,37,59,20,45,41,126,65,20,46,117,44,61,16,82,106,12,15,30,32,62,16
chr1:85156251-85156260,56,101,125,40,109,83,338,177,42,125,293,120,135,67,168,307,23,65,71,76,110,43
chr1:85156301-85156310,48,101,139,41,116,83,332,171,47,120,261,124,135,59,189,331,28,67,88,90,119,56
chr1:85410801-85410810,26,50,42,19,40,43,168,66,23,85,202,67,64,31,134,181,8,37,45,44,78,24
chr1:85410851-85410860,34,52,44,22,43,48,181,84,19,73,177,69,75,32,144,196,8,30,44,43,55,28
chr1:85527901-85527910,41,28,44,18,59,37,145,70,16,40,137,41,82,28,101,137,19,17,34,39,69,23
chr1:85527951-85527960,45,51,61,20,61,53,198,100,23,57,182,71,110,25,130,171,22,25,46,42,91,35
chr1:85528001-85528010,33,34,41,17,46,31,158,75,17,32,129,47,88,11,93,139,12,14,30,13,51,22
chr1:85645401-85645410,8,12,11,2,11,9,48,25,5,9,46,13,29,5,23,46,2,4,4,5,9,3
chr1:85725351-85725360,30,40,72,14,56,53,150,94,16,52,174,70,57,24,101,164,18,31,47,38,64,27
chr1:85725401-85725410,44,49,107,15,64,48,166,111,16,69,210,86,70,25,111,177,23,36,61,60,91,38
chr1:85725451-85725460,38,40,79,14,58,49,132,85,16,66,177,80,68,23,100,154,13,38,51,43,77,27
chr1:85742301-85742310,147,147,162,51,151,120,440,226,68,162,401,165,181,87,286,473,60,119,111,112,160,76
chr1:85742351-85742360,135,151,191,58,150,141,430,227,73,159,432,202,191,95,311,473,68,121,125,109,186,77
chr1:85742401-85742410,121,140,193,39,140,127,374,186,55,144,395,181,177,87,275,400,61,110,110,111,194,77
chr1:86174101-86174110,37,43,85,24,65,59,155,103,37,67,197,70,96,38,102,175,16,39,42,42,77,31
chr1:86174151-86174160,31,42,102,20,58,52,151,99,33,69,202,78,89,36,107,167,14,40,47,50,75,30
chr1:86846151-86846160,11,14,10,6,14,12,25,12,1,9,32,13,16,6,19,26,2,7,14,10,13,4
chr1:86855201-86855210,8,12,11,6,8,7,26,21,2,4,44,13,13,1,30,23,6,3,4,5,12,3
chr1:86862001-86862010,36,53,76,25,75,62,233,139,29,75,191,62,107,47,177,233,23,28,40,28,67,30
chr1:86862051-86862060,45,60,94,29,88,68,253,135,35,95,235,82,115,41,180,297,17,28,50,43,77,38
chr1:86885151-86885160,10,9,10,1,15,16,57,40,5,13,63,13,20,5,44,58,7,5,13,9,21,9
chr1:86885201-86885210,6,4,6,3,13,12,48,40,5,14,51,13,18,7,37,56,5,6,11,10,16,8
chr1:86965851-86965860,8,12,16,8,12,13,22,15,8,11,62,15,15,8,19,22,6,9,13,17,30,9
chr1:87082751-87082760,15,20,27,6,14,11,19,18,4,12,26,24,18,6,31,25,1,9,5,8,13,8
chr1:87205951-87205960,6,11,11,4,16,11,52,31,3,12,35,10,35,7,38,38,3,3,8,7,7,8
chr1:89149851-89149860,59,86,166,35,100,84,232,129,54,133,277,116,131,61,166,232,45,73,70,66,121,56
