450905-0,0B943B-0,7085CA-0,2AD75E-0,1A9B20-0,BAAF62-0,75A2B6-0,DF309F-0,0BF51C-0,B85D75-0,180E1A-0,82CCF5-0,3F05F3-0,40067F-0,0E1F8E-0,E9CFE0,F8FF1A,56E219,77DA77,22CBD6,4F2EAD,062CD8
chr1:16840651-16840660,145,53,38,32,112,48,153,75,15,71,160,49,72,70,84,147,36,73,64,76,100,28
chr1:16993451-16993460,115,57,36,50,117,45,111,79,20,49,158,40,56,63,89,155,26,85,54,51,84,25
chr1:16993501-16993510,125,46,25,53,145,43,134,85,18,50,129,32,64,71,92,173,31,92,49,50,64,25
chr1:16993551-16993560,118,49,24,54,139,42,140,84,19,48,127,34,61,69,92,171,28,89,46,52,66,27
chr1:16993601-16993610,115,47,25,51,132,42,131,86,20,47,123,34,61,67,91,168,28,87,46,51,70,26
chr1:17066851-17066860,108,60,28,42,138,55,151,86,14,58,108,30,50,55,82,138,40,87,46,44,63,23
chr1:17066901-17066910,109,63,29,44,144,58,158,85,12,60,111,30,52,53,83,136,42,89,44,43,58,26
chr1:17066951-17066960,112,58,33,44,148,58,157,90,12,64,110,27,57,54,86,146,42,91,45,45,57,26
chr1:17222651-17222660,119,81,40,27,88,58,100,55,14,56,134,40,61,60,53,96,43,69,57,50,98,24
chr1:17222701-17222710,142,86,42,28,117,82,139,80,16,74,171,50,79,70,82,128,59,80,66,72,104,37
chr1:17222751-17222760,133,72,33,19,118,78,139,89,21,62,161,30,76,69,85,134,57,82,57,56,87,32
chr1:17222801-17222810,125,51,36,25,114,68,124,82,21,56,116,31,77,63,82,124,53,75,54,62,89,27
chr1:17222851-17222860,114,51,30,23,97,61,112,73,21,44,129,36,69,53,77,122,47,75,60,62,99,33
chr1:17231401-17231410,93,83,37,21,90,47,136,63,19,53,211,49,37,49,67,95,36,67,55,41,82,39
chr1:17231451-17231460,98,84,29,21,87,49,142,63,17,50,189,43,43,46,67,91,46,76,58,49,80,37
chr1:17231651-17231660,109,70,43,26,94,56,160,80,12,45,174,42,40,42,66,100,46,66,44,52,66,40
chr1:17380601-17380610,61,42,33,13,55,44,52,37,13,30,94,25,45,32,48,56,21,33,54,50,81,30
chr1:19578251-19578260,36,35,24,16,37,31,39,36,7,22,55,17,16,23,27,36,10,26,16,21,32,18
chr1:20208801-20208810,34,34,27,15,45,22,45,24,16,15,90,30,19,21,27,39,13,31,27,25,46,20
chr1:21420551-21420560,8,6,7,0,4,0,9,3,1,5,5,7,4,7,2,6,3,0,7,12,7,7
chr1:21420601-21420610,10,6,7,0,7,0,9,3,1,5,6,7,4,7,2,6,3,0,7,12,7,7
chr1:21420651-21420660,10,6,7,0,7,0,9,3,1,5,6,6,4,7,2,6,3,0,7,12,7,7
chr1:22366501-22366510,47,39,23,9,58,35,72,33,5,31,126,24,20,18,42,51,7,25,29,26,35,13
chr1:24306901-24306910,62,70,34,18,52,22,57,41,12,30,90,31,34,35,36,43,17,25,40,41,62,23
chr1:24742151-24742160,49,44,27,17,48,18,59,42,14,24,90,32,32,25,33,33,16,25,34,31,41,16
chr1:26222051-26222060,22,25,12,3,30,16,25,17,3,15,46,15,21,13,25,22,8,12,22,17,32,12
chr1:26453051-26453060,21,8,12,7,25,7,27,22,3,20,45,9,14,14,19,27,7,10,11,15,28,11
chr1:26453101-26453110,24,11,15,8,34,8,31,19,3,19,56,5,15,11,21,28,6,9,21,16,30,12
chr1:26758701-26758710,38,26,20,11,49,19,36,21,5,14,46,11,28,17,26,38,9,24,29,31,46,14
chr1:26758751-26758760,40,27,16,13,38,24,40,20,9,15,49,18,27,19,21,36,10,21,33,39,47,20
chr1:27160201-27160210,40,21,15,8,45,12,39,23,6,12,74,18,21,23,27,39,7,14,29,24,30,9
chr1:27248151-27248160,48,37,38,14,47,30,68,36,7,25,94,38,38,26,39,50,14,36,36,29,62,18
chr1:27648651-27648660,63,72,38,16,51,32,64,45,13,35,102,31,49,37,30,56,21,41,41,41,63,18
chr1:27648701-27648710,64,51,35,18,47,30,62,39,13,33,85,30,36,34,37,54,18,41,45,34,64,21
chr1:27816751-27816760,70,60,31,18,63,29,71,30,7,31,110,34,43,34,48,56,25,21,43,42,57,23
chr1:28241251-28241260,35,44,26,20,44,24,47,39,7,23,93,25,35,17,35,40,15,24,34,38,56,20
chr1:28415251-28415260,61,44,29,16,51,28,55,34,6,35,95,25,27,18,46,44,17,18,34,37,51,24
chr1:28573801-28573810,91,75,43,19,77,35,74,60,16,40,142,49,44,37,50,74,22,36,54,44,88,34
chr1:28573851-28573860,93,70,55,31,80,42,84,67,18,47,147,56,45,38,59,74,28,38,69,57,92,38
chr1:28585901-28585910,44,47,26,19,40,38,56,38,10,30,84,17,36,35,39,34,11,23,38,38,62,22
chr1:28655501-28655510,39,30,20,16,38,23,46,19,2,19,63,21,17,18,24,24,9,19,22,29,35,7
chr1:28832401-28832410,50,43,21,13,55,23,35,32,11,14,78,25,23,22,28,38,12,17,30,20,43,13
chr1:28879451-28879460,43,50,23,20,55,30,70,40,7,34,121,20,28,21,34,48,18,26,35,43,48,25
chr1:29508501-29508510,89,56,38,17,59,35,68,45,18,44,99,53,51,36,60,39,24,35,44,49,81,29
chr1:33502601-33502610,40,30,32,13,28,30,34,26,5,28,61,25,30,17,24,44,11,34,40,38,42,13
chr1:33593051-33593060,65,55,42,17,59,34,68,51,20,35,111,40,28,41,40,57,18,31,47,40,70,22
chr1:35318451-35318460,32,19,16,14,26,11,31,17,7,12,63,17,26,16,21,33,5,10,16,20,26,10
chr1:36916151-36916160,53,16,28,5,27,19,42,18,5,25,32,23,26,19,36,42,7,13,18,36,28,12
chr1:38061601-38061610,42,38,31,13,42,30,29,30,10,18,74,22,25,27,36,46,8,21,28,27,51,22
chr1:38077351-38077360,107,89,65,31,76,139,77,37,31,66,129,65,35,46,52,61,13,46,85,82,84,71
chr1:38077401-38077410,116,123,81,37,79,164,85,42,32,65,149,69,40,41,63,63,12,42,89,85,89,82
chr1:38158051-38158060,64,69,40,15,82,33,74,46,12,45,124,48,48,39,52,66,21,36,49,51,76,33
chr1:38455801-38455810,33,19,18,20,36,16,45,37,4,16,65,21,18,21,31,45,13,16,28,34,34,17
chr1:38478301-38478310,47,31,32,5,34,21,39,34,8,16,61,32,23,16,53,52,11,11,28,24,46,18
chr1:39339101-39339110,54,41,23,15,41,29,57,37,7,25,70,29,29,17,36,54,13,29,28,33,54,35
chr1:39339151-39339160,41,37,31,16,43,32,46,39,6,25,71,29,23,16,40,49,12,28,24,29,46,20
chr1:40349201-40349210,30,16,17,6,32,27,33,23,5,9,39,14,16,5,27,34,7,9,16,13,20,11
chr1:40627001-40627010,56,25,26,10,67,13,57,31,10,26,72,24,26,31,39,51,14,30,33,26,52,16
chr1:40627051-40627060,59,26,21,12,62,20,47,33,7,20,74,24,25,29,36,47,10,27,30,24,44,20
chr1:40723751-40723760,80,55,37,20,65,38,85,56,20,40,126,38,41,33,46,59,17,38,39,53,52,32
chr1:41174901-41174910,23,24,12,9,35,12,35,37,5,13,71,16,19,11,13,24,9,5,18,21,28,10
chr1:42928851-42928860,34,37,23,17,54,28,65,52,10,20,93,28,31,25,43,65,7,25,38,25,45,27
chr1:42928901-42928910,36,41,27,16,57,29,63,48,8,17,89,25,32,24,28,51,8,24,23,28,39,18
chr1:43824551-43824560,51,30,22,18,44,26,57,39,14,28,82,31,37,25,31,61,22,33,30,29,62,16
chr1:44115701-44115710,118,90,53,27,72,43,82,58,15,53,143,62,42,66,70,91,35,58,63,70,105,45
chr1:44173101-44173110,64,43,29,26,46,20,70,54,5,30,83,32,30,31,41,69,19,33,42,34,52,19
chr1:44435551-44435560,42,27,19,19,43,28,45,32,11,23,82,16,21,31,29,46,14,18,32,38,49,16
chr1:45205401-45205410,35,35,28,14,51,14,49,30,12,31,77,18,22,20,28,46,12,21,34,36,41,19
chr1:45452301-45452310,41,29,19,12,32,22,40,42,10,22,58,20,27,27,31,52,11,22,24,23,52,12
chr1:45965801-45965810,43,40,25,17,59,35,63,50,8,26,109,33,31,25,57,48,13,22,37,41,47,18
chr1:45965851-45965860,45,43,27,14,64,29,71,55,10,24,120,33,28,34,55,58,13,23,38,49,49,16
chr1:46813951-46813960,20,12,7,5,15,8,25,12,6,8,24,10,9,12,7,35,4,9,8,11,22,8
chr1:47069951-47069960,37,48,23,21,50,29,41,34,13,26,85,29,33,27,41,46,4,18,35,37,56,24
chr1:47184901-47184910,52,50,22,15,77,30,68,51,22,43,107,37,42,32,48,68,16,22,41,38,64,17
chr1:47779901-47779910,72,55,51,21,71,39,72,52,13,41,97,31,40,29,55,90,21,35,40,49,68,37
chr1:47779951-47779960,68,51,44,15,60,38,67,44,10,34,89,30,36,25,42,90,22,35,44,43,80,33
chr1:47780001-47780010,61,47,35,15,55,37,68,58,15,36,86,34,35,23,41,95,16,34,36,36,74,29
chr1:51425901-51425910,85,46,45,23,89,50,88,69,14,49,96,46,58,36,71,108,19,40,44,37,70,26
chr1:51425951-51425960,81,44,46,18,90,43,97,65,15,45,114,46,54,31,62,103,19,37,36,38,69,34
chr1:53704251-53704260,49,33,28,13,40,17,34,32,8,23,69,16,23,14,30,47,7,21,21,31,47,15
chr1:55230301-55230310,72,94,60,26,69,43,85,70,25,41,151,48,46,56,76,114,27,59,41,67,103,43
chr1:55230351-55230360,76,87,64,23,70,47,97,71,20,43,165,50,50,47,83,117,28,59,37,63,96,37
chr1:55230401-55230410,68,67,53,28,65,42,76,76,11,42,140,44,40,43,76,110,24,47,39,54,76,41
chr1:59012401-59012410,103,64,74,39,138,51,134,106,28,47,150,63,52,94,125,219,26,56,60,69,91,30
chr1:59012451-59012460,112,73,78,39,155,52,157,114,27,61,175,65,69,103,120,232,29,59,71,79,104,47
chr1:59012501-59012510,91,71,70,40,121,52,142,99,21,53,163,66,62,83,106,208,28,49,58,73,111,49
chr1:59165751-59165760,51,44,25,17,65,30,72,60,19,27,102,32,38,38,42,86,13,29,40,32,62,24
chr1:59165801-59165810,43,50,22,15,63,33,61,58,14,24,101,31,32,27,34,88,15,25,39,34,65,23
chr1:59762501-59762510,101,51,41,29,125,63,134,101,26,38,122,42,54,57,99,186,42,60,56,63,64,27
chr1:62190801-62190810,39,26,17,20,63,25,54,46,11,19,55,21,19,23,47,88,14,18,20,18,40,14
chr1:62190851-62190860,52,27,22,17,64,22,60,54,12,23,61,32,18,21,46,84,16,20,21,24,38,10
chr1:62248551-62248560,19,19,9,10,39,10,47,35,8,16,51,19,9,10,22,56,9,5,7,9,22,14
chr1:63249501-63249510,84,43,29,35,124,34,125,115,18,45,130,42,45,60,81,188,32,36,46,36,47,21
chr1:63249551-63249560,94,43,32,37,110,35,125,117,18,50,122,35,45,53,83,184,34,40,50,36,44,16
chr1:63249601-63249610,91,45,30,36,113,31,117,111,17,44,113,34,42,47,81,176,30,39,48,38,40,15
chr1:63249651-63249660,84,45,29,36,116,33,119,111,17,44,111,35,40,47,83,175,30,39,48,34,39,14
chr1:63249701-63249710,75,44,34,38,132,37,133,116,19,47,123,35,45,52,90,186,31,46,49,38,46,20
chr1:63249751-63249760,68,49,30,34,116,38,127,104,17,41,129,33,38,44,80,177,30,43,41,41,45,27
chr1:63988951-63988960,65,28,23,24,74,37,83,61,14,20,79,23,33,45,47,114,11,26,21,26,37,12
chr1:63989001-63989010,69,21,29,19,64,36,90,62,15,29,69,26,31,47,52,118,9,26,26,30,31,18
chr1:63993601-63993610,6,6,12,3,3,1,7,2,4,0,20,8,1,6,1,5,3,1,26,32,21,19
chr1:65541251-65541260,21,12,9,4,32,10,40,30,6,6,27,7,16,10,21,26,2,6,9,13,17,11
chr1:66748201-66748210,14,15,14,10,37,17,39,49,9,15,56,18,18,23,24,30,1,10,11,14,19,8
chr1:67390601-67390610,137,76,72,48,192,82,190,202,41,86,222,76,71,94,136,306,37,56,76,75,120,49
chr1:67390651-67390660,130,64,61,46,206,75,179,209,41,83,211,75,70,106,134,318,32,62,73,81,111,42
chr1:67395901-67395910,96,61,58,45,131,58,118,99,26,33,156,61,61,73,87,167,29,49,49,52,87,27
chr1:67896151-67896160,116,101,67,48,226,74,203,208,35,88,247,85,92,88,140,342,42,66,82,75,152,48
chr1:67896251-67896260,106,77,47,45,247,81,228,233,46,77,211,72,72,81,133,329,44,49,59,52,114,34
chr1:67966301-67966310,25,21,14,7,37,15,38,33,17,16,42,17,24,11,25,36,7,9,8,12,26,16
chr1:68962801-68962810,66,37,36,18,62,33,70,40,16,25,74,12,32,33,59,99,12,23,19,28,39,26
chr1:70671251-70671260,57,48,38,19,92,38,106,89,14,41,100,36,56,43,69,153,21,50,31,27,52,19
chr1:70671301-70671310,73,65,49,24,100,42,115,94,22,44,141,44,67,66,77,174,23,49,40,40,64,25
chr1:70671351-70671360,82,51,53,22,111,41,103,96,17,43,144,50,63,64,73,168,24,45,36,35,73,27
chr1:70671401-70671410,67,36,35,20,101,31,107,91,20,39,112,33,55,45,73,160,22,32,31,33,53,31
chr1:70687001-70687010,63,46,44,24,140,47,131,132,15,45,165,51,44,68,100,191,22,27,46,38,72,34
chr1:70687051-70687060,83,61,55,27,157,66,153,170,18,57,206,59,55,84,99,236,34,35,66,56,85,41
chr1:70687101-70687110,86,53,50,29,149,60,129,150,22,56,171,55,56,77,89,250,38,35,62,49,74,29
chr1:70687151-70687160,87,50,34,26,147,65,138,151,17,56,133,40,55,68,95,254,29,32,41,30,62,26
chr1:70687201-70687210,87,46,32,28,147,60,141,149,23,50,115,43,53,72,93,251,30,30,43,27,51,27
chr1:70876751-70876760,113,57,54,49,192,76,213,194,31,91,188,70,66,95,110,305,37,67,60,57,87,30
chr1:70876801-70876810,111,64,57,38,195,77,207,187,34,74,192,71,55,95,113,289,37,59,61,68,89,32
chr1:70876851-70876860,110,69,58,44,210,78,213,185,33,74,198,71,55,99,124,295,36,67,57,75,102,48
chr1:71546801-71546810,78,60,28,34,118,51,126,134,27,39,141,42,47,61,92,174,20,57,42,43,74,26
chr1:71546851-71546860,75,61,28,33,113,49,125,133,27,39,140,42,50,60,89,170,19,55,41,43,69,26
chr1:71546901-71546910,75,60,28,33,114,48,129,136,27,42,137,41,49,59,88,171,19,54,38,40,68,26
chr1:71546951-71546960,87,76,36,39,143,54,150,153,23,50,177,60,58,65,107,205,19,56,58,54,80,33
chr1:71547001-71547010,70,63,35,24,125,49,136,135,10,34,154,49,45,54,92,163,13,45,52,54,72,34
chr1:74663851-74663860,108,80,56,41,184,72,180,147,41,60,221,83,54,95,145,271,24,63,60,65,97,33
chr1:74663901-74663910,117,103,66,35,188,69,173,155,40,67,252,83,64,98,135,315,26,84,75,75,116,36
chr1:74663951-74663960,133,117,76,44,214,82,208,174,44,75,299,102,69,103,152,344,36,90,93,97,131,54
chr1:76190301-76190310,94,49,28,41,112,52,129,82,24,46,135,49,50,63,94,188,22,44,44,39,72,31
chr1:76190351-76190360,83,43,39,29,117,40,110,75,20,42,120,54,47,65,87,172,23,45,38,43,73,29
chr1:76251801-76251810,74,48,45,23,91,38,118,106,25,43,138,45,38,58,74,142,18,28,52,51,68,32
chr1:76251851-76251860,96,81,53,28,126,48,151,115,23,56,178,66,50,69,85,180,31,42,60,66,88,38
chr1:76251901-76251910,87,60,46,27,118,40,135,115,15,49,145,46,47,54,80,174,24,37,46,52,69,35
chr1:76540301-76540310,59,35,34,21,97,36,111,104,20,32,122,39,35,56,64,149,21,17,35,39,55,28
chr1:76540351-76540360,65,35,33,26,92,35,107,97,22,37,138,32,35,51,60,152,21,22,37,47,66,29
chr1:77436951-77436960,10,45,17,4,4,6,9,6,5,4,52,26,13,2,3,10,1,3,21,33,31,34
chr1:77437001-77437010,7,45,18,3,3,4,13,3,3,3,53,25,11,2,1,9,1,2,20,33,34,33
chr1:77437051-77437060,7,34,11,1,2,4,14,5,5,2,39,18,11,5,1,12,0,2,16,28,25,25
chr1:77685051-77685060,45,30,14,14,84,25,91,60,13,39,67,21,29,27,38,116,9,19,20,21,52,20
chr1:77685101-77685110,39,43,24,9,77,23,79,62,10,37,86,26,31,30,35,94,8,24,27,26,49,23
chr1:78225501-78225510,77,29,35,25,125,25,142,124,26,53,110,40,47,65,82,183,17,30,44,41,58,22
chr1:78225551-78225560,67,36,36,24,130,20,146,124,25,48,120,41,48,50,84,190,18,32,36,44,55,27
chr1:78245301-78245310,31,15,30,12,82,26,69,83,15,35,65,25,12,27,39,90,10,10,34,27,36,14
chr1:78470501-78470510,58,49,23,16,133,30,147,128,36,27,148,41,46,39,82,197,10,19,39,31,58,32
chr1:78470551-78470560,45,42,20,16,122,19,131,106,26,29,148,30,44,41,85,159,9,21,34,28,58,25
chr1:79115451-79115460,28,20,19,10,56,16,68,58,17,17,60,11,29,16,27,81,8,10,16,17,23,13
chr1:84326701-84326710,37,25,18,13,112,23,122,90,17,24,75,21,25,41,51,130,7,18,22,16,41,16
chr1:84609951-84609960,33,23,16,9,79,16,86,56,5,14,73,17,22,20,43,101,12,13,19,6,28,8
chr1:84899651-84899660,32,14,17,8,51,15,39,50,9,10,64,18,20,14,31,50,4,13,11,10,14,9
chr1:84908101-84908110,30,18,22,11,46,18,61,50,5,18,52,12,21,16,25,73,11,9,17,19,22,11
chr1:84944951-84944960,30,29,19,13,69,26,73,70,21,29,62,16,34,24,44,122,7,20,18,15,22,16
chr1:84945151-84945160,31,32,15,14,84,25,80,79,12,25,69,19,26,17,41,127,8,21,14,20,28,14
chr1:84945201-84945210,35,28,19,16,87,23,77,79,8,18,74,18,22,21,43,140,13,31,18,15,24,11
chr1:84971901-84971910,137,88,49,35,170,55,193,190,32,68,169,63,73,87,113,266,30,61,61,60,110,48
chr1:84971951-84971960,145,89,64,47,200,59,226,230,40,68,203,77,75,89,140,295,33,70,71,69,120,54
chr1:85040101-85040110,98,77,57,37,123,47,133,123,33,56,144,66,39,66,95,186,27,43,77,57,84,32
chr1:85086551-85086560,61,31,19,16,106,26,99,89,30,33,100,25,44,45,63,133,7,14,26,32,56,16
chr1:85086601-85086610,60,24,21,19,95,26,96,89,26,36,93,25,48,43,58,131,9,14,26,34,48,16
chr1:85086651-85086660,60,23,22,22,92,28,89,86,26,32,88,25,48,44,54,128,7,11,21,29,48,16
chr1:85086701-85086710,54,24,24,23,104,30,98,95,26,36,98,27,48,44,56,135,7,13,29,30,50,14
chr1:85086751-85086760,47,25,34,19,90,32,102,76,28,31,92,31,53,42,48,106,12,15,30,32,62,16
chr1:85410801-85410810,60,38,43,39,131,37,137,107,26,36,124,32,42,33,84,181,8,37,45,44,78,24
chr1:85410851-85410860,73,36,40,28,142,37,145,142,29,42,133,33,50,46,86,196,8,30,44,43,55,28
chr1:85410901-85410910,67,30,29,29,125,33,136,125,23,43,98,30,52,38,82,182,8,23,37,31,47,20
chr1:85411051-85411060,66,32,31,27,124,36,136,121,27,38,115,30,49,34,74,191,11,28,37,34,55,24
chr1:85527901-85527910,43,30,30,21,122,31,109,101,19,27,83,28,39,40,72,137,19,17,34,39,69,23
chr1:85527951-85527960,50,38,35,34,162,46,125,128,17,39,121,40,40,42,91,171,22,25,46,42,91,35
chr1:85528001-85528010,35,26,31,22,115,30,103,100,13,27,74,30,31,27,56,139,12,14,30,13,51,22
chr1:85725351-85725360,50,42,34,26,132,42,114,126,20,30,115,43,36,46,70,164,18,31,47,38,64,27
chr1:85725401-85725410,63,58,43,32,141,49,131,129,18,28,161,46,45,49,85,177,23,36,61,60,91,38
chr1:85725451-85725460,60,47,34,24,118,33,110,110,20,28,119,38,38,48,76,154,13,38,51,43,77,27
chr1:85742301-85742310,191,105,99,77,267,119,317,261,59,112,257,111,87,149,205,473,60,119,111,112,160,76
chr1:85742351-85742360,182,128,107,87,300,124,325,273,63,126,306,141,85,172,207,473,68,121,125,109,186,77
chr1:85742401-85742410,172,126,96,76,266,104,278,232,58,100,264,140,90,154,174,400,61,110,110,111,194,77
chr1:86174101-86174110,52,58,34,25,145,45,129,106,29,50,159,57,50,46,75,175,16,39,42,42,77,31
chr1:86174151-86174160,57,53,38,24,123,45,115,98,31,49,160,48,52,50,71,167,14,40,47,50,75,30
chr1:86846151-86846160,3,12,10,7,17,4,20,21,7,8,32,8,13,5,23,26,2,7,14,10,13,4
chr1:86862001-86862010,57,51,38,41,146,35,169,162,29,49,129,43,41,54,88,233,23,28,40,28,67,30
chr1:86862051-86862060,54,67,41,43,186,43,186,171,30,48,154,54,44,58,98,297,17,28,50,43,77,38
chr1:86885151-86885160,10,17,8,7,43,10,36,29,4,7,46,14,24,5,22,58,7,5,13,9,21,9
chr1:87205951-87205960,21,17,4,7,46,10,37,41,5,8,28,7,10,10,19,38,3,3,8,7,7,8
chr1:89357251-89357260,47,56,29,24,97,39,110,91,24,33,101,56,41,46,57,137,24,31,40,36,72,18
chr1:89357301-89357310,55,64,34,25,101,40,108,90,19,34,123,57,39,49,63,125,27,45,49,37,78,25
chr1:89458551-89458560,118,93,58,44,136,72,137,125,44,72,214,76,61,95,89,205,30,81,80,74,98,45
chr1:89458651-89458660,130,80,54,40,152,71,155,119,35,64,179,73,61,85,97,204,39,77,57,80,100,42
chr1:89738551-89738560,28,25,20,10,53,13,41,35,17,9,42,20,18,25,25,45,10,16,6,15,12,9
chr1:89985551-89985560,13,11,14,14,39,9,33,34,3,14,29,11,13,15,39,45,2,9,8,9,17,4
chr1:90228701-90228710,45,29,27,13,58,21,67,61,12,22,66,25,25,25,45,74,11,14,24,30,42,15
chr1:90309001-90309010,54,34,13,29,97,27,90,72,23,32,75,23,32,41,51,122,12,29,30,23,46,19
chr1:90460651-90460660,59,48,51,27,110,31,106,101,22,46,101,58,36,49,72,160,17,40,46,45,82,33
chr1:90460701-90460710,66,50,44,23,125,43,123,117,24,42,108,51,43,54,81,181,15,40,44,40,68,35
chr1:91852851-91852860,372,295,220,175,472,131,525,296,157,303,325,212,394,226,322,357,118,156,341,364,328,230
chr1:91852901-91852910,400,308,250,191,556,147,597,315,159,327,354,239,451,235,367,402,123,170,361,408,357,245
chr1:91852951-91852960,432,316,263,198,569,154,623,338,167,318,354,242,474,254,366,417,127,184,342,416,362,247
chr1:91853001-91853010,477,380,282,216,590,176,647,350,182,345,385,260,483,285,393,448,143,188,392,429,417,284
chr1:91853051-91853060,418,341,246,172,495,147,540,302,153,296,345,211,429,252,346,388,111,146,342,398,369,240
chr1:91853101-91853110,328,274,208,132,376,139,396,246,137,239,263,172,340,190,278,324,88,129,261,309,288,191
chr1:92546051-92546060,49,37,35,22,116,25,113,117,15,49,134,35,40,40,61,139,12,20,30,22,45,18
chr1:92546101-92546110,48,34,26,19,121,25,137,127,17,43,124,36,38,42,60,153,12,21,30,22,42,21
chr1:92764501-92764510,55,31,17,20,123,33,110,131,22,53,98,30,40,38,57,172,16,35,36,27,47,18
chr1:92764551-92764560,43,37,23,24,103,29,97,118,21,52,112,31,41,43,55,174,21,40,44,28,45,23
chr1:92781801-92781810,23,25,8,4,50,7,47,51,9,19,68,20,11,14,23,62,5,4,12,13,18,6
chr1:93049551-93049560,13,21,7,2,60,15,44,37,9,11,51,7,9,4,21,63,4,10,10,14,21,12
chr1:93049601-93049610,11,18,6,2,49,15,57,38,11,9,44,8,8,3,19,63,7,10,8,14,18,10
chr1:93297551-93297560,87,62,45,28,162,58,128,142,31,51,158,44,71,54,76,174,13,47,52,49,91,42
chr1:93297601-93297610,99,61,44,35,176,66,152,147,35,56,166,50,70,63,94,209,19,46,44,49,100,34
chr1:93324601-93324610,18,16,18,10,34,15,28,35,10,13,60,19,12,12,16,46,8,11,29,26,32,14
chr1:93324651-93324660,17,15,10,8,32,14,32,33,5,12,60,22,15,13,12,53,6,9,20,17,25,11
chr1:93446951-93446960,23,24,11,12,65,13,73,75,10,13,80,15,21,12,30,81,13,9,20,21,24,11
chr1:93447001-93447010,29,24,18,11,72,16,64,73,9,9,80,15,23,10,34,81,10,11,25,21,37,7
chr1:93447051-93447060,28,21,16,12,76,16,60,66,8,8,73,17,19,15,26,76,12,12,25,17,24,14
chr1:93495001-93495010,13,11,14,10,46,10,46,52,6,10,63,10,11,11,22,65,6,11,14,8,22,9
chr1:93495051-93495060,13,11,11,10,54,9,44,54,5,9,71,10,9,10,22,64,7,12,13,8,23,8
chr1:93508101-93508110,24,11,18,10,53,14,48,63,16,16,49,14,17,15,37,62,4,9,23,15,18,7
chr1:93508151-93508160,24,18,22,15,78,19,66,67,18,22,77,21,25,19,49,86,6,15,21,19,27,11
